id,station,date,prcp,tobs
0,USC00519397,2010-01-01,2.0,18.3
1,USC00519397,2010-01-02,0.0,17.2
2,USC00519397,2010-01-03,0.0,23.3
3,USC00519397,2010-01-04,0.0,24.4
4,USC00519397,2010-01-06,,22.8
5,USC00519397,2010-01-07,1.5,21.1
6,USC00519397,2010-01-08,0.0,17.8
7,USC00519397,2010-01-09,0.0,20.0
8,USC00519397,2010-01-10,0.0,22.8
9,USC00519397,2010-01-11,0.3,17.8
10,USC00519397,2010-01-12,0.0,16.1
11,USC00519397,2010-01-14,0.0,18.9
12,USC00519397,2010-01-15,0.0,18.3
13,USC00519397,2010-01-16,0.0,20.0
14,USC00519397,2010-01-17,0.0,17.8
15,USC00519397,2010-01-18,0.0,22.2
16,USC00519397,2010-01-19,0.0,18.9
17,USC00519397,2010-01-20,0.0,18.9
18,USC00519397,2010-01-21,0.0,20.6
19,USC00519397,2010-01-22,0.0,19.4
20,USC00519397,2010-01-23,0.0,19.4
21,USC00519397,2010-01-24,0.3,21.7
22,USC00519397,2010-01-25,0.0,19.4
23,USC00519397,2010-01-26,1.0,24.4
24,USC00519397,2010-01-27,3.0,20.0
25,USC00519397,2010-01-28,0.0,22.2
26,USC00519397,2010-01-30,,21.1
27,USC00519397,2010-01-31,0.8,19.4
28,USC00519397,2010-02-01,0.3,18.9
29,USC00519397,2010-02-03,,19.4
30,USC00519397,2010-02-04,0.3,20.6
31,USC00519397,2010-02-05,0.0,19.4
32,USC00519397,2010-02-06,0.0,19.4
33,USC00519397,2010-02-07,0.0,17.8
34,USC00519397,2010-02-08,0.0,20.6
35,USC00519397,2010-02-09,0.0,22.8
36,USC00519397,2010-02-11,0.0,22.8
37,USC00519397,2010-02-12,0.5,20.6
38,USC00519397,2010-02-13,0.3,20.6
39,USC00519397,2010-02-14,0.0,20.6
40,USC00519397,2010-02-15,0.0,21.7
41,USC00519397,2010-02-16,0.0,16.1
42,USC00519397,2010-02-17,0.0,20.6
43,USC00519397,2010-02-19,,17.2
44,USC00519397,2010-02-20,0.8,17.8
45,USC00519397,2010-02-21,0.0,18.3
46,USC00519397,2010-02-22,0.0,19.4
47,USC00519397,2010-02-23,0.0,20.0
48,USC00519397,2010-02-24,0.0,18.3
49,USC00519397,2010-02-25,0.0,24.4
50,USC00519397,2010-02-26,0.0,23.9
51,USC00519397,2010-02-28,0.0,18.9
52,USC00519397,2010-03-01,0.3,21.1
53,USC00519397,2010-03-02,0.0,22.2
54,USC00519397,2010-03-03,0.0,22.8
55,USC00519397,2010-03-04,3.0,21.1
56,USC00519397,2010-03-05,2.0,21.7
57,USC00519397,2010-03-06,0.8,22.2
58,USC00519397,2010-03-07,0.0,22.2
59,USC00519397,2010-03-08,10.9,20.6
60,USC00519397,2010-03-09,1.5,21.1
61,USC00519397,2010-03-11,,22.8
62,USC00519397,2010-03-12,0.0,22.2
63,USC00519397,2010-03-13,0.0,22.8
64,USC00519397,2010-03-14,0.0,21.1
65,USC00519397,2010-03-15,1.5,21.7
66,USC00519397,2010-03-17,0.0,20.0
67,USC00519397,2010-03-18,0.0,21.1
68,USC00519397,2010-03-21,0.0,22.2
69,USC00519397,2010-03-22,0.0,20.6
70,USC00519397,2010-03-23,0.0,20.0
71,USC00519397,2010-03-24,0.0,23.3
72,USC00519397,2010-03-26,,22.2
73,USC00519397,2010-03-27,0.0,22.2
74,USC00519397,2010-03-28,0.0,22.8
75,USC00519397,2010-03-29,0.0,23.3
76,USC00519397,2010-03-30,0.0,22.8
77,USC00519397,2010-03-31,0.0,22.8
78,USC00519397,2010-04-01,0.0,23.3
79,USC00519397,2010-04-02,0.3,23.3
80,USC00519397,2010-04-03,4.3,23.3
81,USC00519397,2010-04-04,3.8,21.7
